Value	Count	
wisecars	1049	
edreams	1115	
argus car hire	2400	
holiday autos	1963	
easycar	2398	
bsp-auto	854	
goldcar	43	
europcar	239	
avis	150	
sixt	406	
kayak	297	
discovercars	1620	
holidaycars	288	
booking	1123	
opodo	1293	
gotrentalcars	1023	
expedia	1446	
qeeq	1587	
vip cars	1207	
zest car rental	314	
car rental 8	330	
trip	156	
stress free car rental	256	
enjoy car hire	117	
Trip.com	2255	
GotRentalCars	2300	
StressFreeCarRental	2071	
Discover Cars	3557	
VIPCars	2644	
HolidayCars.com	3136	
Enjoy	1622	
Orbit Car Hire	2554	
Economy Bookings	3497	
Rentcars.com	1882	
Wisecars	2170	
Enterprise	164	
Expedia	1811	
Auto Europe	1938	
easyCar	2281	
Holiday Autos	2810	
Opodo	2289	
rentalcars.com	2385	
Car Rental 8	671	
Zest Car Rental	789	
Alamo	172	
Budget	125	
Hertz	122	
Avis	142	
Sixt	337	
Europcar	97	
Easirent	18	
Localrent.com	55	
Klook.com	47	
GotRentalCars.com	454	
arguscarhire.com	504	
AutoEurope	646	
Rentalcars.com	596	
Stressfreecarrental.com	348	
Alamo Europe	110	
Carrental8.com	50	
Enjoy Travel	378	
VIP Cars	168	
DiscoverCars.com	360	
	2	
		
